scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0199,2,196,0.01020408163265306,0.3574477434158325,0.33803790807724,0.019409820437431335,0.33803790807724,0.37685754895210266,0.341919869184494,0.37297558784484863
ground_rot_45,scene_0200,26,196,0.1326530612244898,0.38858985900878906,0.39047572016716003,0.08946558833122253,0.14208859205245972,0.5777879953384399,0.2654673755168915,0.4662720561027527
ground_rot_45,scene_0201,31,196,0.15816326530612246,0.355336457490921,0.4013691544532776,0.13112322986125946,0.028118593618273735,0.6136236190795898,0.18654406070709229,0.48721542954444885
ground_rot_45,scene_0202,12,196,0.061224489795918366,0.31834399700164795,0.2882537245750427,0.11498486250638962,0.1334621012210846,0.5114368200302124,0.16996535658836365,0.4519334137439728
ground_rot_45,scene_0203,31,196,0.15816326530612246,0.2512393891811371,0.23549851775169373,0.09595613181591034,0.04972295090556145,0.47783368825912476,0.15018001198768616,0.35395264625549316
ground_rot_45,scene_0204,47,196,0.23979591836734693,0.24405817687511444,0.23758088052272797,0.11412503570318222,-0.017565131187438965,0.4788099229335785,0.11011459678411484,0.4042067527770996
ground_rot_45,scene_0205,45,196,0.22959183673469388,0.2700253427028656,0.2714259624481201,0.11338770389556885,0.04324550926685333,0.4865504503250122,0.10540243983268738,0.40686941146850586
ground_rot_45,scene_0206,54,196,0.2755102040816326,0.2233598530292511,0.2366364598274231,0.11573977023363113,-0.0705866664648056,0.46563854813575745,0.09024946391582489,0.3787635564804077
ground_rot_45,scene_0207,46,196,0.23469387755102042,0.30591538548469543,0.3152121305465698,0.1243789792060852,0.002427073195576668,0.5338531136512756,0.10203877091407776,0.4445857107639313
ground_rot_45,scene_0208,25,196,0.12755102040816327,0.278303325176239,0.2599027156829834,0.08811501413583755,0.08418416231870651,0.43963414430618286,0.20135778188705444,0.4061005711555481
ground_rot_45,scene_0209,33,196,0.1683673469387755,0.40390273928642273,0.4191979169845581,0.11108868569135666,0.1103677824139595,0.593984842300415,0.25731921195983887,0.5549142360687256
ground_rot_45,scene_0210,36,196,0.1836734693877551,0.23474924266338348,0.25120484828948975,0.11309492588043213,-0.010876044631004333,0.477134108543396,0.07705225795507431,0.3517115116119385
